58771, 199.31, 974.68, 41.48
58846, 202.48, 974.19, 41.47
58920, 204.35, 974.09, 41.47
58995, 199.84, 975.43, 41.47
59070, 193.24, 975.82, 41.47
59145, 190.69, 976.15, 41.46
59219, 188.80, 976.29, 41.47
59293, 186.12, 975.67, 41.46
59368, 194.87, 975.45, 41.46
59443, 191.73, 975.62, 41.45
59523, 192.91, 975.82, 41.46
59596, 189.48, 975.88, 41.46
59671, 188.80, 976.47, 41.46
59746, 183.80, 977.25, 41.45
59821, 174.70, 977.96, 41.46
59895, 169.78, 978.50, 41.45
59970, 169.85, 978.28, 41.46
60045, 171.21, 978.28, 41.47
60120, 171.64, 978.36, 41.46
60194, 167.30, 978.36, 41.46
60269, 167.56, 978.30, 41.47
60343, 172.03, 978.24, 41.47
60418, 164.73, 979.41, 41.46
60492, 157.01, 980.04, 41.47
60567, 151.94, 980.65, 41.46
60642, 152.46, 980.59, 41.46
60721, 150.05, 980.98, 41.46
60795, 148.65, 980.74, 41.45
60870, 154.18, 980.42, 41.45
60945, 151.03, 980.96, 41.46
61020, 144.88, 981.03, 41.46
61094, 144.36, 981.03, 41.47
61169, 147.48, 980.84, 41.47
61244, 142.83, 981.67, 41.46
61319, 140.36, 981.65, 41.46
61392, 137.47, 982.34, 41.46
61467, 131.36, 982.78, 41.47
61542, 130.10, 982.62, 41.47
61617, 129.93, 983.04, 41.46
61691, 127.40, 983.22, 41.45
61766, 132.21, 983.22, 41.46
61841, 124.61, 983.84, 41.47
61916, 121.30, 983.79, 41.47
61995, 126.92, 983.66, 41.47
62069, 119.25, 984.13, 41.47
62144, 121.79, 984.16, 41.47
62219, 113.32, 985.41, 41.46
62294, 109.86, 985.01, 41.46
62368, 106.42, 985.52, 41.46
62442, 107.16, 985.54, 41.47
62517, 109.33, 985.91, 41.47
62592, 101.95, 986.26, 41.47
62666, 104.38, 986.16, 41.46
62741, 101.76, 986.12, 41.47
62816, 105.41, 985.90, 41.47
62891, 100.91, 986.79, 41.46
62965, 97.97, 986.32, 41.47
63040, 100.30, 986.84, 41.47
63114, 94.77, 986.67, 41.47
63194, 94.41, 987.32, 41.47
63268, 89.40, 987.73, 41.47
63342, 92.37, 987.05, 41.47
63417, 88.91, 987.53, 41.46
63492, 94.41, 987.90, 41.47
63566, 81.22, 988.26, 41.46
63641, 82.77, 988.10, 41.47
63716, 84.35, 988.43, 41.47
63791, 87.39, 988.47, 41.47
63864, 75.98, 989.18, 41.47
63939, 77.92, 988.87, 41.47
64014, 76.01, 989.07, 41.47
64089, 75.37, 989.97, 41.47
64163, 68.98, 989.81, 41.47
64238, 73.17, 990.02, 41.46
64313, 70.27, 990.21, 41.47
64388, 63.36, 990.82, 41.48
64466, 66.49, 990.30, 41.47
64541, 64.27, 990.56, 41.46
64616, 61.14, 991.48, 41.47
64690, 59.68, 991.00, 41.47
64764, 59.23, 991.27, 41.47
64839, 58.29, 991.75, 41.48
64914, 52.68, 991.94, 41.46
64989, 55.75, 991.88, 41.47
65063, 53.33, 992.26, 41.47
65137, 46.98, 992.79, 41.47
65212, 50.11, 992.82, 41.48
65287, 47.01, 992.54, 41.47
65361, 43.37, 993.42, 41.49
65436, 42.37, 993.17, 41.47
65511, 40.34, 993.31, 41.47
65586, 40.99, 993.80, 41.47
65659, 35.13, 993.79, 41.49
65739, 37.96, 994.08, 41.47
65814, 36.39, 993.92, 41.49
65888, 33.62, 994.66, 41.47
65963, 32.14, 994.49, 41.47
66037, 28.22, 994.84, 41.48
66112, 32.66, 994.95, 41.49
66187, 24.68, 995.44, 41.49
66262, 27.54, 995.12, 41.47
66336, 23.78, 995.36, 41.48
66410, 24.77, 995.75, 41.49
66485, 17.99, 996.02, 41.50
66560, 21.72, 996.02, 41.49
66634, 18.64, 996.00, 41.49
66709, 20.66, 996.22, 41.49
66784, 12.76, 996.80, 41.48
66859, 16.00, 996.51, 41.47
66932, 11.70, 996.67, 41.49
67012, 11.41, 997.09, 41.49
67086, 4.00, 999.11, 41.47
67161, -2.64, 998.50, 41.48
67235, -2.58, 998.52, 41.49
67310, -2.58, 998.52, 41.49
67385, -2.84, 998.55, 41.48
67460, -2.58, 998.52, 41.48
67534, -2.42, 998.52, 41.47
67609, -2.35, 998.60, 41.48
67684, -2.71, 998.59, 41.47
67759, -2.81, 998.56, 41.47
67832, -2.57, 998.57, 41.48
67907, -2.64, 998.61, 41.47
67982, -2.83, 998.56, 41.47
68057, -2.96, 998.58, 41.46
68131, -2.93, 998.58, 41.49
68206, -2.83, 998.54, 41.48
68281, -2.70, 998.57, 41.47
68360, -2.93, 998.59, 41.47
68434, -3.12, 998.58, 41.46
